ctprvn_nm|signgu_nm|emd_nm|regist_se|inqire_ym|managt_cnt|ldadng_dt
서울특별시|서울특별시 양천구|서울특별시 양천구청|개명|201502|168|2017-11-21 16:58:47
서울특별시|서울특별시 양천구|서울특별시 양천구청|사망|201502|138|2017-11-21 16:58:47
서울특별시|서울특별시 양천구|서울특별시 양천구청|이혼|201502|136|2017-11-21 16:58:47
서울특별시|서울특별시 양천구|서울특별시 양천구청|출생|201502|239|2017-11-21 16:58:47
서울특별시|서울특별시 양천구|서울특별시 양천구청|혼인|201502|159|2017-11-21 16:58:47
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|개명|201502|73|2017-11-21 16:58:47
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|사망|201502|141|2017-11-21 16:58:47
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|이혼|201502|43|2017-11-21 16:58:47
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|출생|201502|291|2017-11-21 16:58:47
서울특별시|서울특별시 영등포구|서울특별시 영등포구청|혼인|201502|263|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|개명|201502|46|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|사망|201502|95|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|이혼|201502|27|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|출생|201502|168|2017-11-21 16:58:47
서울특별시|서울특별시 용산구|서울특별시 용산구청|혼인|201502|139|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|개명|201502|80|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|사망|201502|159|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|이혼|201502|52|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|출생|201502|307|2017-11-21 16:58:47
서울특별시|서울특별시 은평구|서울특별시 은평구청|혼인|201502|183|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|개명|201502|45|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|사망|201502|75|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|이혼|201502|35|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|출생|201502|103|2017-11-21 16:58:47
서울특별시|서울특별시 종로구|서울특별시 종로구청|혼인|201502|291|2017-11-21 16:58:47
서울특별시|서울특별시 중구|서울특별시 중구청|개명|201502|83|2017-11-21 16:58:47
서울특별시|서울특별시 중구|서울특별시 중구청|사망|201502|55|2017-11-21 16:58:47
서울특별시|서울특별시 중구|서울특별시 중구청|이혼|201502|17|2017-11-21 16:58:47
서울특별시|서울특별시 중구|서울특별시 중구청|출생|201502|72|2017-11-21 16:58:47
서울특별시|서울특별시 중구|서울특별시 중구청|혼인|201502|88|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|개명|201502|59|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|사망|201502|153|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|이혼|201502|51|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|출생|201502|267|2017-11-21 16:58:47
서울특별시|서울특별시 중랑구|서울특별시 중랑구청|혼인|201502|138|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|개명|201503|209|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|사망|201503|196|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|이혼|201503|67|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|출생|201503|402|2017-11-21 16:58:47
서울특별시|서울특별시 강남구|서울특별시 강남구청|혼인|201503|429|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|개명|201503|87|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|사망|201503|194|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|이혼|201503|56|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|출생|201503|432|2017-11-21 16:58:47
서울특별시|서울특별시 강동구|서울특별시 강동구청|혼인|201503|233|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|개명|201503|60|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|사망|201503|218|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|이혼|201503|75|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|출생|201503|243|2017-11-21 16:58:47
서울특별시|서울특별시 강북구|서울특별시 강북구청|혼인|201503|166|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|개명|201503|111|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|사망|201503|265|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|이혼|201503|81|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|출생|201503|585|2017-11-21 16:58:47
서울특별시|서울특별시 강서구|서울특별시 강서구청|혼인|201503|392|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|개명|201503|104|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|사망|201503|215|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|이혼|201503|48|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|출생|201503|355|2017-11-21 16:58:47
서울특별시|서울특별시 관악구|서울특별시 관악구청|혼인|201503|318|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|개명|201503|63|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|사망|201503|164|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|이혼|201503|64|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|출생|201503|292|2017-11-21 16:58:47
서울특별시|서울특별시 광진구|서울특별시 광진구청|혼인|201503|237|2017-11-21 16:58:47
